code,area,year,qualification,number,denominator,percent,confidence
E09000006,Bromley,2008,NVQ1 only,25700,194200,13.2,2.9
E09000012,Hackney,2009,NVQ1 only,12400,169200,7.3,2
E09000008,Croydon,2008,NVQ1 only,32300,231500,13.9,3.2
E09000009,Ealing,2008,NVQ1 only,15400,225800,6.8,2.1
E09000010,Enfield,2008,NVQ1 only,24000,192600,12.5,2.6
E09000014,Haringey,2008,NVQ1 only,13000,171900,7.5,2.2
E09000015,Harrow,2008,NVQ1 only,11000,149000,7.3,2.1
E09000016,Havering,2008,NVQ1 only,29700,147100,20.2,3.2
E09000017,Hillingdon,2008,NVQ1 only,22100,170600,13,2.6
E09000018,Hounslow,2008,NVQ1 only,17100,163600,10.5,2.6
E09000021,Kingston upon Thames,2008,NVQ1 only,8600,106800,8,2.3
E09000012,Hackney,2010,NVQ1 only,11800,174000,6.8,2
E09000024,Merton,2008,NVQ1 only,15900,133500,11.9,3
E09000025,Newham,2008,NVQ1 only,17100,188500,9.1,2.2
E09000026,Redbridge,2008,NVQ1 only,18200,174800,10.4,2.5
E09000027,Richmond upon Thames,2008,NVQ1 only,8200,124100,6.6,2.1
E09000029,Sutton,2008,NVQ1 only,16000,122100,13.1,3.1
E09000031,Waltham Forest,2008,NVQ1 only,22000,163900,13.4,2.8
E09000012,Hackney,2011,NVQ1 only,15900,177800,8.9,2.2
E09000012,Hackney,2012,NVQ1 only,16700,180500,9.3,2.3
E09000012,Hackney,2013,NVQ1 only,18400,182800,10.1,2.4
E09000012,Hackney,2014,NVQ1 only,12900,188700,6.8,2
E09000012,Hackney,2015,NVQ1 only,17400,192200,9,2.3
E09000012,Hackney,2016,NVQ1 only,17700,197600,9,2.4
E09000012,Hackney,2017,NVQ1 only,15600,199200,7.8,2.4
E09000012,Hackney,2018,NVQ1 only,14000,202600,6.9,2.3
E09000012,Hackney,2019,NVQ1 only,12800,206300,6.2,2.2
E09000012,Hackney,2020,NVQ1 only,10200,208800,4.9,4
E09000012,Hackney,2021,NVQ1 only,9400,213000,4.4,*
E09000002,Barking and Dagenham,2009,NVQ1 only,15500,110700,14,2.9
E09000003,Barnet,2009,NVQ1 only,19800,227700,8.7,2.5
E09000004,Bexley,2009,NVQ1 only,23700,146000,16.3,3.3
E09000005,Brent,2009,NVQ1 only,15300,205500,7.4,2.4
E09000006,Bromley,2009,NVQ1 only,23500,193500,12.2,3.2
E09000013,Hammersmith and Fulham,2004,NVQ1 only,6300,123300,5.1,2
E09000008,Croydon,2009,NVQ1 only,31100,235700,13.2,3
E09000009,Ealing,2009,NVQ1 only,21100,227900,9.3,2.4
E09000010,Enfield,2009,NVQ1 only,23000,195000,11.8,2.4
E09000014,Haringey,2009,NVQ1 only,10500,175000,6,1.9
E09000015,Harrow,2009,NVQ1 only,13100,151900,8.6,2.4
E09000016,Havering,2009,NVQ1 only,33300,149700,22.3,3.5
E09000017,Hillingdon,2009,NVQ1 only,20300,173200,11.7,2.8
E09000018,Hounslow,2009,NVQ1 only,14700,167700,8.7,2.4
E09000021,Kingston upon Thames,2009,NVQ1 only,7700,107200,7.2,2.2
E09000013,Hammersmith and Fulham,2005,NVQ1 only,10500,125100,8.4,2.1
E09000024,Merton,2009,NVQ1 only,13100,135600,9.6,2.5
E09000025,Newham,2009,NVQ1 only,17700,196200,9,2.2
E09000026,Redbridge,2009,NVQ1 only,18100,177300,10.2,2.5
E09000027,Richmond upon Thames,2009,NVQ1 only,8700,122300,7.1,2.3
E09000029,Sutton,2009,NVQ1 only,14900,123000,12.1,2.9
E09000031,Waltham Forest,2009,NVQ1 only,20400,168500,12.1,2.8
E09000013,Hammersmith and Fulham,2006,NVQ1 only,7900,127000,6.2,1.9
E09000013,Hammersmith and Fulham,2007,NVQ1 only,7600,128900,5.9,2
E09000013,Hammersmith and Fulham,2008,NVQ1 only,11000,129600,8.5,2.4
E09000013,Hammersmith and Fulham,2009,NVQ1 only,8400,132900,6.3,2.1
E09000013,Hammersmith and Fulham,2010,NVQ1 only,8700,134000,6.5,2
E09000013,Hammersmith and Fulham,2011,NVQ1 only,7400,134500,5.5,1.7
E09000013,Hammersmith and Fulham,2012,NVQ1 only,7300,131200,5.6,1.8
E09000013,Hammersmith and Fulham,2013,NVQ1 only,7300,129800,5.6,1.8
E09000013,Hammersmith and Fulham,2014,NVQ1 only,8000,128000,6.2,2
E09000013,Hammersmith and Fulham,2015,NVQ1 only,6100,126500,4.8,1.9
E09000013,Hammersmith and Fulham,2016,NVQ1 only,5900,127100,4.6,1.9
E09000002,Barking and Dagenham,2010,NVQ1 only,18000,115200,15.6,2.8
E09000003,Barnet,2010,NVQ1 only,19100,231100,8.3,2.3
E09000004,Bexley,2010,NVQ1 only,26100,146400,17.8,3.1
E09000005,Brent,2010,NVQ1 only,15700,212500,7.4,2.4
E09000006,Bromley,2010,NVQ1 only,23300,195500,11.9,3.1
E09000013,Hammersmith and Fulham,2017,NVQ1 only,5300,129900,4.1,1.9
E09000008,Croydon,2010,NVQ1 only,32700,237500,13.8,3.1
E09000009,Ealing,2010,NVQ1 only,12800,227300,5.6,1.9
E09000010,Enfield,2010,NVQ1 only,27300,197300,13.8,2.6
E09000014,Haringey,2010,NVQ1 only,14100,176900,8,2.2
E09000015,Harrow,2010,NVQ1 only,9600,155700,6.2,2.1
E09000016,Havering,2010,NVQ1 only,27000,150700,17.9,3.3
E09000017,Hillingdon,2010,NVQ1 only,20400,175300,11.6,2.8
E09000018,Hounslow,2010,NVQ1 only,15000,171800,8.7,2.3
E09000021,Kingston upon Thames,2010,NVQ1 only,8900,108100,8.2,2.4
E09000013,Hammersmith and Fulham,2018,NVQ1 only,6800,126500,5.4,2.2
E09000024,Merton,2010,NVQ1 only,9500,135500,7,1.9
E09000025,Newham,2010,NVQ1 only,17900,210300,8.5,2.1
E09000026,Redbridge,2010,NVQ1 only,13900,180600,7.7,2
E09000027,Richmond upon Thames,2010,NVQ1 only,10500,122600,8.6,2.4
E09000029,Sutton,2010,NVQ1 only,16400,123500,13.3,2.8
E09000031,Waltham Forest,2010,NVQ1 only,15500,174000,8.9,2.3
E09000013,Hammersmith and Fulham,2019,NVQ1 only,3500,126200,2.8,1.7
E09000013,Hammersmith and Fulham,2020,NVQ1 only,4900,124800,3.9,3.8
E09000013,Hammersmith and Fulham,2021,NVQ1 only,2700,127200,2.1,*
E09000019,Islington,2004,NVQ1 only,13000,126700,10.2,2.4
E09000019,Islington,2005,NVQ1 only,11300,130600,8.7,2.3
E09000019,Islington,2006,NVQ1 only,9500,132500,7.1,2.1
E09000019,Islington,2007,NVQ1 only,12400,136100,9.1,2.2
E09000019,Islington,2008,NVQ1 only,12700,140700,9,2.2
E09000019,Islington,2009,NVQ1 only,11400,145500,7.9,2.1
E09000019,Islington,2010,NVQ1 only,10100,146800,6.9,2
E09000019,Islington,2011,NVQ1 only,12500,152500,8.2,2.2
E09000002,Barking and Dagenham,2011,NVQ1 only,18500,118200,15.6,2.9
E09000003,Barnet,2011,NVQ1 only,19100,230800,8.3,2.4
E09000004,Bexley,2011,NVQ1 only,26100,145000,18,3.3
E09000005,Brent,2011,NVQ1 only,19400,217600,8.9,2.6
E09000006,Bromley,2011,NVQ1 only,22200,197000,11.3,2.8
E09000019,Islington,2012,NVQ1 only,13200,158100,8.4,2.4
E09000008,Croydon,2011,NVQ1 only,30800,238400,12.9,2.9
E09000009,Ealing,2011,NVQ1 only,19100,226100,8.4,2.5
E09000010,Enfield,2011,NVQ1 only,31500,201800,15.6,2.9
E09000014,Haringey,2011,NVQ1 only,11400,179400,6.4,2.1
E09000015,Harrow,2011,NVQ1 only,10600,155800,6.8,2
E09000016,Havering,2011,NVQ1 only,28500,150100,19,3.6
E09000017,Hillingdon,2011,NVQ1 only,23800,181100,13.1,2.8
E09000018,Hounslow,2011,NVQ1 only,18700,174700,10.7,2.4
E09000021,Kingston upon Thames,2011,NVQ1 only,13400,108700,12.3,2.8
E09000019,Islington,2013,NVQ1 only,11200,157900,7.1,2.2
E09000024,Merton,2011,NVQ1 only,14500,136100,10.6,2.4
E09000025,Newham,2011,NVQ1 only,21800,216600,10.1,2.2
E09000026,Redbridge,2011,NVQ1 only,15700,181000,8.7,2.2
E09000027,Richmond upon Thames,2011,NVQ1 only,9800,124900,7.8,2.4
E09000029,Sutton,2011,NVQ1 only,16400,123100,13.3,3
E09000031,Waltham Forest,2011,NVQ1 only,19800,176200,11.2,2.5
E09000019,Islington,2014,NVQ1 only,11500,163300,7.1,2.2
E09000019,Islington,2015,NVQ1 only,12200,167000,7.3,2.2
E09000019,Islington,2016,NVQ1 only,12100,171300,7.1,2.3
E09000019,Islington,2017,NVQ1 only,10900,174400,6.2,2.2
E09000019,Islington,2018,NVQ1 only,9300,175500,5.3,2.2
E09000019,Islington,2019,NVQ1 only,6400,175500,3.6,1.8
E09000019,Islington,2020,NVQ1 only,7800,181500,4.3,4
E09000019,Islington,2021,NVQ1 only,5100,184400,2.8,3
E09000020,Kensington and Chelsea,2004,NVQ1 only,4000,116200,3.4,1.5
E09000020,Kensington and Chelsea,2005,NVQ1 only,6100,119000,5.1,1.8
E09000020,Kensington and Chelsea,2006,NVQ1 only,5600,116700,4.8,1.8
E09000002,Barking and Dagenham,2012,NVQ1 only,16300,119600,13.6,2.8
E09000003,Barnet,2012,NVQ1 only,24400,237600,10.3,2.7
E09000004,Bexley,2012,NVQ1 only,20900,146700,14.2,3.2
E09000005,Brent,2012,NVQ1 only,12300,214200,5.8,1.8
E09000006,Bromley,2012,NVQ1 only,22500,198000,11.4,2.6
E09000020,Kensington and Chelsea,2007,NVQ1 only,4900,114600,4.3,1.8
E09000008,Croydon,2012,NVQ1 only,28800,238200,12.1,2.9
E09000009,Ealing,2012,NVQ1 only,17300,230300,7.5,2.1
E09000010,Enfield,2012,NVQ1 only,26500,203900,13,2.9
E09000014,Haringey,2012,NVQ1 only,12200,181500,6.7,2.2
E09000015,Harrow,2012,NVQ1 only,9800,157000,6.2,1.9
E09000016,Havering,2012,NVQ1 only,25000,151400,16.5,3.4
E09000017,Hillingdon,2012,NVQ1 only,23000,185300,12.4,2.9
E09000018,Hounslow,2012,NVQ1 only,16600,176000,9.4,2.4
E09000021,Kingston upon Thames,2012,NVQ1 only,8500,110300,7.7,2.3
E09000020,Kensington and Chelsea,2008,NVQ1 only,5000,117300,4.3,1.8
E09000024,Merton,2012,NVQ1 only,12500,136600,9.2,2.3
E09000025,Newham,2012,NVQ1 only,13000,217000,6,1.8
E09000026,Redbridge,2012,NVQ1 only,13400,184000,7.3,2
E09000027,Richmond upon Thames,2012,NVQ1 only,6400,125900,5,1.9
E09000029,Sutton,2012,NVQ1 only,12400,125100,9.9,2.7
E09000031,Waltham Forest,2012,NVQ1 only,18300,175900,10.4,2.6
E09000020,Kensington and Chelsea,2009,NVQ1 only,4900,117600,4.1,1.8
E09000020,Kensington and Chelsea,2010,NVQ1 only,4600,115300,4,1.6
E09000020,Kensington and Chelsea,2011,NVQ1 only,7200,113200,6.4,1.9
E09000020,Kensington and Chelsea,2012,NVQ1 only,5100,110000,4.7,1.6
E09000020,Kensington and Chelsea,2013,NVQ1 only,5600,108400,5.1,1.7
E09000020,Kensington and Chelsea,2014,NVQ1 only,6300,107600,5.9,1.8
E09000020,Kensington and Chelsea,2015,NVQ1 only,4700,107600,4.4,1.6
E09000020,Kensington and Chelsea,2016,NVQ1 only,6300,108100,5.8,2.1
E09000020,Kensington and Chelsea,2017,NVQ1 only,6700,104600,6.4,2.3
E09000020,Kensington and Chelsea,2018,NVQ1 only,7000,103800,6.7,2.5
E09000020,Kensington and Chelsea,2019,NVQ1 only,4300,103300,4.2,2
E09000002,Barking and Dagenham,2013,NVQ1 only,18100,121100,15,2.9
E09000003,Barnet,2013,NVQ1 only,22800,240200,9.5,2.6
E09000004,Bexley,2013,NVQ1 only,23700,145500,16.3,3.5
E09000005,Brent,2013,NVQ1 only,18800,215700,8.7,2
E09000006,Bromley,2013,NVQ1 only,19700,201500,9.8,2.3
E09000020,Kensington and Chelsea,2020,NVQ1 only,4700,103300,4.6,4
E09000008,Croydon,2013,NVQ1 only,25000,239800,10.4,2.5
E09000009,Ealing,2013,NVQ1 only,24100,228800,10.6,2.6
E09000010,Enfield,2013,NVQ1 only,30600,204900,15,3
E09000014,Haringey,2013,NVQ1 only,12300,181900,6.7,2
E09000015,Harrow,2013,NVQ1 only,11400,156900,7.3,2
E09000016,Havering,2013,NVQ1 only,23600,151100,15.6,3.3
E09000017,Hillingdon,2013,NVQ1 only,20100,188900,10.6,2.6
E09000018,Hounslow,2013,NVQ1 only,17200,178000,9.7,2.4
E09000021,Kingston upon Thames,2013,NVQ1 only,8100,111700,7.2,2.2
E09000020,Kensington and Chelsea,2021,NVQ1 only,7200,102100,7.1,5.6
E09000024,Merton,2013,NVQ1 only,11700,138000,8.5,2.4
E09000025,Newham,2013,NVQ1 only,12300,221600,5.5,1.7
E09000026,Redbridge,2013,NVQ1 only,13400,189200,7.1,2
E09000027,Richmond upon Thames,2013,NVQ1 only,5800,125000,4.7,1.7
E09000029,Sutton,2013,NVQ1 only,15200,125200,12.1,3.2
E09000031,Waltham Forest,2013,NVQ1 only,13900,178500,7.8,2.3
E09000022,Lambeth,2004,NVQ1 only,13200,193400,6.8,2.2
E09000022,Lambeth,2005,NVQ1 only,14600,196600,7.4,2.2
E09000022,Lambeth,2006,NVQ1 only,9900,200400,4.9,1.8
E09000022,Lambeth,2007,NVQ1 only,13000,205100,6.4,1.9
E09000022,Lambeth,2008,NVQ1 only,18300,209600,8.8,2.2
E09000022,Lambeth,2009,NVQ1 only,16000,215700,7.4,2.1
E09000022,Lambeth,2010,NVQ1 only,12700,219400,5.8,2
E09000022,Lambeth,2011,NVQ1 only,12200,221800,5.5,1.9
E09000022,Lambeth,2012,NVQ1 only,18100,228700,7.9,2.4
E09000022,Lambeth,2013,NVQ1 only,12600,233800,5.4,2.1
E09000022,Lambeth,2014,NVQ1 only,19300,237900,8.1,2.5
E09000002,Barking and Dagenham,2014,NVQ1 only,15800,124000,12.7,2.9
E09000003,Barnet,2014,NVQ1 only,19500,243400,8,2.3
E09000004,Bexley,2014,NVQ1 only,20900,149000,14,3.2
E09000005,Brent,2014,NVQ1 only,15100,214400,7,1.8
E09000006,Bromley,2014,NVQ1 only,21700,202100,10.7,2.4
E09000022,Lambeth,2015,NVQ1 only,13300,237400,5.6,2.2
E09000008,Croydon,2014,NVQ1 only,20200,242900,8.3,2.4
E09000009,Ealing,2014,NVQ1 only,10900,227900,4.8,1.9
E09000010,Enfield,2014,NVQ1 only,29300,207600,14.1,3
E09000014,Haringey,2014,NVQ1 only,12600,187200,6.7,2
E09000015,Harrow,2014,NVQ1 only,12400,157500,7.9,2.1
E09000016,Havering,2014,NVQ1 only,24300,154900,15.7,3.1
E09000017,Hillingdon,2014,NVQ1 only,22300,191000,11.7,2.6
E09000018,Hounslow,2014,NVQ1 only,12900,180900,7.2,2.2
E09000021,Kingston upon Thames,2014,NVQ1 only,6600,112900,5.8,2
E09000022,Lambeth,2016,NVQ1 only,11800,244200,4.8,2.2
E09000024,Merton,2014,NVQ1 only,7600,136700,5.6,2
E09000025,Newham,2014,NVQ1 only,13900,224600,6.2,1.9
E09000026,Redbridge,2014,NVQ1 only,16900,189300,8.9,2.3
E09000027,Richmond upon Thames,2014,NVQ1 only,5600,124500,4.5,1.8
E09000029,Sutton,2014,NVQ1 only,12200,127800,9.6,3
E09000031,Waltham Forest,2014,NVQ1 only,16100,178800,9,2.6
E09000022,Lambeth,2017,NVQ1 only,8500,242900,3.5,1.9
E09000022,Lambeth,2018,NVQ1 only,10900,243600,4.5,2
E09000022,Lambeth,2019,NVQ1 only,13900,244000,5.7,2.1
E09000022,Lambeth,2020,NVQ1 only,15800,243000,6.5,4.2
E09000022,Lambeth,2021,NVQ1 only,5500,243200,2.3,*
E09000023,Lewisham,2004,NVQ1 only,20800,170000,12.3,2.6
E09000023,Lewisham,2005,NVQ1 only,21200,172800,12.3,2.6
E09000023,Lewisham,2006,NVQ1 only,20300,175400,11.6,2.6
E09000023,Lewisham,2007,NVQ1 only,16600,178400,9.3,2.3
E09000023,Lewisham,2008,NVQ1 only,17900,186400,9.6,2.3
E09000023,Lewisham,2009,NVQ1 only,16600,188900,8.8,2.4
E09000002,Barking and Dagenham,2015,NVQ1 only,13500,126800,10.6,2.6
E09000003,Barnet,2015,NVQ1 only,19700,243700,8.1,2.4
E09000004,Bexley,2015,NVQ1 only,19500,151500,12.9,3.1
E09000005,Brent,2015,NVQ1 only,19900,220400,9,2.1
E09000006,Bromley,2015,NVQ1 only,18500,199900,9.3,2.3
E09000023,Lewisham,2010,NVQ1 only,16600,190000,8.7,2.6
E09000008,Croydon,2015,NVQ1 only,26000,246500,10.5,2.6
E09000009,Ealing,2015,NVQ1 only,17300,226400,7.6,2.1
E09000010,Enfield,2015,NVQ1 only,16800,208900,8,2.3
E09000014,Haringey,2015,NVQ1 only,10000,190400,5.3,1.8
E09000015,Harrow,2015,NVQ1 only,11400,158400,7.2,2.1
E09000016,Havering,2015,NVQ1 only,33500,154100,21.7,3.7
E09000017,Hillingdon,2015,NVQ1 only,18800,195800,9.6,2.5
E09000018,Hounslow,2015,NVQ1 only,14300,180700,7.9,2.3
E09000021,Kingston upon Thames,2015,NVQ1 only,7500,113800,6.6,2.2
E09000023,Lewisham,2011,NVQ1 only,15200,193800,7.9,2.3
E09000024,Merton,2015,NVQ1 only,7600,136800,5.6,2
E09000025,Newham,2015,NVQ1 only,13700,229800,5.9,1.8
E09000026,Redbridge,2015,NVQ1 only,17400,191900,9,2.3
E09000027,Richmond upon Thames,2015,NVQ1 only,4000,124100,3.3,1.6
E09000029,Sutton,2015,NVQ1 only,15800,129400,12.2,3.2
E09000031,Waltham Forest,2015,NVQ1 only,15900,183000,8.7,2.9
E09000023,Lewisham,2012,NVQ1 only,14300,196300,7.3,2.2
E09000023,Lewisham,2013,NVQ1 only,14500,197500,7.3,2.1
E09000023,Lewisham,2014,NVQ1 only,12300,202700,6.1,1.9
E09000023,Lewisham,2015,NVQ1 only,14200,207000,6.9,2.2
E09000023,Lewisham,2016,NVQ1 only,18300,209500,8.8,2.5
E09000023,Lewisham,2017,NVQ1 only,17800,207400,8.6,2.5
E09000023,Lewisham,2018,NVQ1 only,14100,211400,6.7,2.3
E09000023,Lewisham,2019,NVQ1 only,12300,214600,5.7,2.1
E09000023,Lewisham,2020,NVQ1 only,10900,220000,5,3.5
E09000023,Lewisham,2021,NVQ1 only,16500,221300,7.4,4.3
E09000028,Southwark,2004,NVQ1 only,16100,177700,9.1,2.4
E09000002,Barking and Dagenham,2016,NVQ1 only,13900,128800,10.8,2.6
E09000003,Barnet,2016,NVQ1 only,20200,250600,8,2.4
E09000004,Bexley,2016,NVQ1 only,19400,154400,12.6,3
E09000005,Brent,2016,NVQ1 only,20600,220700,9.3,2.3
E09000006,Bromley,2016,NVQ1 only,20200,201600,10,2.6
